carrier size,mean_ef,sd
0-999,34.2,0.48
1000-1999,26.5,0.29
2000-2999,19.8,0.28
3000-4999,17.3,0.27
5000-7999,16.6,0.2
8000-11999,13.5,0.21
12000-14499,10.6,0.18
14500-19999,8.2,0.2
20000,8,0.52
