iso3c,country,import_price,export_price
CHN,China,11.03237339,11.7424857
IDN,Indonesia,9.460526598,17.42051282
IND,India,27.70417357,4780.242255
MYS,Malaysia,9.9801437,14.27112801
SGP,Singapore,16.76444316,41.81077829
THA,Thailand,12.85906304,23.81967454
VNM,Vietnam,24.89270156,29.07950596
Other,Other,18.39389927,2.477184564
